Reft Sector

A: Raen                      sec_a.dat
B: Lues                      sec_b.dat
C: Ungersol                  sec_c.dat
D: Dekesh                    sec_d.dat
E: Yonder                    sec_e.dat
F: Arena                     sec_f.dat
G: Varson                    sec_g.dat
H: Maramar                   sec_h.dat
I: Mersol                    sec_i.dat
J: Zisran                    sec_j.dat
K: Tokho                     sec_k.dat
L: Oraros                    sec_l.dat
M: Khuulu                    sec_m.dat
N: Faengfel                  sec_n.dat
O: Ekso                      sec_o.dat
P: Sudzum                    sec_p.dat

Bases:
C = ?
G = ?
H = ?
  = None

Allegiance:
07 Na = Non-aligned
04 Cs = Client State
09 V1 = First Fleet of Dzo
14 V5 = Ruler of Five
10 V7 = 17th Disjucture
11 Va = Vargr
13 Vo = Opposition Alliance
10 Vv = Voekhaeb Society
01 Vx = Antares Pact
08    = Unknown
