@SUB-SECTOR: sec_c   SECTOR: glimdrft
#
#Jump Routes
$1707 1607 -1 0
$1707 1906 0 0
$1710 1609 -1 0
$1710 1810 0 0
$1802 1602 -1 0
$1802 1940 0 -1
$1802 1902 0 0
$1810 1811 0 1
$1810 1909 0 0
$1901 1940 0 -1
$1901 1902 0 0
$1902 2202 0 0
$1906 2107 0 0
$1909 2109 0 0
$2107 2109 0 0
$2109 2209 0 0
$2202 2302 0 0
$2202 2303 0 0
$2209 2211 0 1
$2209 2407 0 0
$2302 2303 0 0
$2303 2403 0 0
$2303 2502 1 0
$2403 2404 0 0
$2404 2604 1 0
$2404 2406 0 0
$2406 2407 0 0
$2407 2606 1 0
$2407 2509 1 0
#
#--------1---------2---------3---------4---------5----------6---
#PlanetName   Loc. UPP Code   B   Notes         Z  PBG Al LRX *
#----------   ---- ---------  - --------------- -  --- -- --- --
Flameask      1707 D557747-3    Ag                 801 Gl
Brondel       1710 E642457-5    Ni                 700 Gl
Citadel       1802 A473669-A    Ni                 201 Im
Macelight     1810 B000AB6-D    As In              401 Gl
Realmuster    1901 C000899-B    As                 801 Im
Parasit       1902 CAC1787-A                       201 Im
Aldrus        1906 C865465-6    Ni                 401 Gl
Bakcyon       1909 B7449B6-C    In                 200 Gl
Prophet       2005 X000479-8    As                 401 Gl
Seraul        2007 D210200-A    Ni                 501 Gl
Steelsten     2107 B748645-6    Ag                 500 Gl
Quabinisar    2109 XAC2961-A                       501 Gl
Ixobis-Kher   2202 A87A465-A    Ni                 400 Ma
Simulacrim    2209 D200223-8    Ni                 601 Gl
Ixobis-Lar    2302 D586673-5    Ri Ag              300 Ma
Ixobis-Rit    2303 A120400-D    Ni                 401 Ma
Ixobis-Mag    2403 D120236-8    Ni                 800 Ma
Ixobis-Daw    2404 B854500-8    Ag                 901 Ma
Ixobis-Mon    2406 D854565-5    Ag                 400 Ma
Ixobis-Ron    2407 A000772-A    As                 501 As
